Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Kia,2014,100000,أبيض عاجي,1,خصوصي,1,2,1,2000,3,5,0,1,1,1,1,1,1,1,1,1,1,0
Kia,2007,60000,سكني,0,خصوصي,1,1,1,2500,3,8,1,2,1,1,1,1,1,1,1,1,1,1
Hyundai,2006,43500,سكني,1,خصوصي,1,2,1,1600,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Fiat,1982,5500,بيج,1,خصوصي,1,0,0,906,3,5,1,0,1,0,0,1,0,0,0,0,1,0
Peugeot,2014,54000,فضي,1,خصوصي,1,2,1,1200,4,5,0,2,1,1,1,0,0,1,0,1,1,0
Opel,2015,65000,بترولي,1,خصوصي,1,0,1,1400,3,5,1,1,1,1,1,1,0,1,1,1,1,0
Ford,2014,59000,أسود ميتالك,1,خصوصي,1,2,1,1600,3,5,0,2,1,1,1,1,0,0,0,1,1,0
Ford,2005,75000,أبيض عاجي,0,خصوصي,1,0,1,2500,0,8,1,1,1,1,1,1,0,0,0,1,1,1
Peugeot,2012,39000,فضي,1,خصوصي,1,0,1,1400,3,5,0,2,1,1,1,1,0,1,0,1,1,0
Skoda,2016,73000,أبيض,1,خصوصي,1,2,1,1200,4,5,0,0,1,1,1,1,0,1,0,1,1,0
Fiat,1998,30000,ذهبي,1,خصوصي,1,2,1,1600,3,5,1,4,1,1,1,1,0,0,0,1,1,1
Skoda,2012,55000,أسود ميتالك,1,خصوصي,1,2,1,1200,3,5,0,2,1,0,0,1,0,1,0,0,1,0
Kia,2014,66000,فيراني,0,خصوصي,1,0,1,1400,3,5,0,1,1,1,1,1,0,1,1,1,1,0
Peugeot,2011,55000,أحمر,0,خصوصي,1,0,1,1600,4,5,0,2,1,1,0,1,0,0,0,1,1,0
Volkswagen,2014,100000,سكني,0,خصوصي,1,0,1,1600,2,7,1,2,1,1,0,1,0,0,0,0,1,1
Hyundai,2008,77000,أزرق سماوي,0,خصوصي,1,2,1,2200,4,7,0,3,1,1,1,1,1,0,1,1,1,0
Hyundai,1999,20000,أبيض,1,خصوصي,1,0,1,1600,4,5,0,3,0,1,0,1,0,1,1,1,1,0
Hyundai,2010,61000,رمادي,1,خصوصي,1,2,1,1600,3,5,1,2,1,0,1,1,0,1,1,1,1,0
Ford,2014,47000,أزرق,1,خصوصي,1,0,1,1250,4,5,0,0,1,1,1,1,0,0,0,1,0,1
Hyundai,2014,93000,فضي,0,خصوصي,1,2,1,2000,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Skoda,2014,71000,سكني,0,خصوصي,1,0,1,1600,3,5,0,0,1,0,1,1,0,0,0,0,1,0
Hyundai,2011,110000,فضي,1,خصوصي,1,2,1,1800,3,5,1,2,1,1,1,1,1,1,1,1,1,1
Skoda,2014,90000,عدة الوان,0,خصوصي,1,0,1,1600,3,5,0,2,1,1,1,1,0,1,0,0,1,1
Kia,2011,67000,أسود,1,خصوصي,1,2,1,1600,3,5,0,2,1,1,0,1,1,1,1,1,1,0
Opel,1982,17500,أبيض عاجي,1,خصوصي,1,0,1,1300,4,5,0,0,0,1,1,1,0,1,0,0,1,0
Hyundai,2016,67000,فيراني,1,خصوصي,1,2,1,1400,4,5,1,0,1,1,1,1,0,1,1,1,1,1
Volkswagen,2012,60000,أسود ميتالك,1,خصوصي,1,2,1,1400,3,5,0,2,1,1,1,1,0,0,0,1,1,1
Volkswagen,2011,95000,أسود,0,خصوصي,1,2,1,1600,3,7,1,2,1,1,0,1,0,1,1,1,1,0
Daewoo,1999,30000,أزرق,1,خصوصي,1,0,0,1500,3,5,0,3,0,0,0,0,0,0,0,0,1,0
Volkswagen,2012,115000,فضي,0,خصوصي,1,0,1,1600,2,7,1,2,1,1,1,1,0,1,1,1,1,0
Hyundai,2014,109000,فيراني,0,خصوصي,1,1,1,2000,4,5,1,0,1,1,1,1,0,0,1,1,1,1
Hyundai,2006,42000,فضي,1,خصوصي,1,2,1,1600,3,5,1,2,0,0,0,0,0,0,0,0,1,1
Volkswagen,2011,85000,فيراني,0,خصوصي,1,2,1,1600,1,8,0,2,1,1,1,1,0,1,1,1,1,0
Chevrolet,2006,32500,أبيض عاجي,1,خصوصي,1,2,1,1600,3,5,0,3,0,1,1,1,0,0,0,1,1,1
Opel,2003,33500,سكني,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,0,1,1,1,1,0
Volkswagen,2012,97000,رصاصي,0,خصوصي,1,2,1,1600,3,7,1,1,1,1,1,1,0,1,0,1,1,1
Hyundai,2010,85000,فيراني,0,خصوصي,1,2,1,2000,3,5,0,2,1,1,1,1,1,1,1,1,1,0
Ford,2012,45000,بترولي,1,خصوصي,1,0,1,1250,3,5,0,1,1,1,0,1,0,0,0,1,1,0
Daewoo,1996,21000,سكني,1,خصوصي,1,2,1,1500,4,5,1,3,1,1,1,1,0,0,1,1,1,0
Renault,1983,11000,أبيض عاجي,1,خصوصي,1,0,0,1100,3,5,1,2,0,0,0,1,0,1,1,0,1,1
Ford,2000,45000,أبيض,0,عمومي,1,0,1,2500,3,8,0,2,0,0,0,1,0,0,0,1,1,1
Mercedes,1999,20000,رصاصي,0,خصوصي,1,0,1,2000,3,5,1,2,1,1,1,1,0,1,1,1,1,0
Opel,2015,56500,رمادي,1,خصوصي,1,0,1,1400,4,6,0,1,1,1,1,1,0,1,0,1,1,0
Renault,1982,10000,أبيض عاجي,1,خصوصي,1,0,0,1235,3,5,0,8,0,0,0,0,0,0,0,0,1,0
Opel,2013,51900,فضي,1,خصوصي,1,0,1,1400,3,5,1,1,1,1,1,1,0,1,1,1,1,1
Volkswagen,2008,75000,برتقالي,0,عمومي,1,0,1,2500,3,8,0,1,1,0,1,1,0,0,1,1,1,0
Hyundai,2007,40000,أسود,1,خصوصي,1,2,1,1600,0,5,0,3,1,1,1,1,0,1,1,1,1,0
Skoda,2015,113000,أسود,0,خصوصي,1,2,1,2000,4,5,1,0,1,1,1,1,0,1,0,1,1,1
Volkswagen,1997,25000,أبيض عاجي,1,خصوصي,1,0,1,1600,4,5,0,3,0,1,1,1,0,1,0,1,1,1
Volkswagen,2007,60000,فضي,1,خصوصي,1,0,1,1600,3,5,0,2,1,1,1,1,0,1,0,0,1,0
Volkswagen,2012,100000,أبيض عاجي,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,1,1,1,1,1,0
Skoda,2001,37000,أخضر,0,عمومي,1,0,1,1900,3,5,0,6,1,0,0,1,1,1,1,0,1,0
Volkswagen,2010,85000,أسود ميتالك,0,خصوصي,1,2,1,2000,2,5,0,1,1,1,1,1,0,1,0,1,1,1
Volkswagen,1999,37000,أبيض عاجي,0,عمومي,1,0,1,2400,3,8,1,2,0,0,0,1,0,0,1,0,1,1
Opel,1986,23000,أحمر,1,خصوصي,1,0,1,1500,3,5,1,2,0,1,1,1,0,1,0,0,1,0
Peugeot,2012,69000,رمادي,0,خصوصي,1,0,1,1600,3,5,0,2,1,1,0,1,0,0,1,1,1,0
Opel,1984,13000,أبيض,1,خصوصي,1,0,0,1400,2,5,0,5,0,1,0,1,0,1,1,1,1,0
Opel,1984,6000,أبيض,1,خصوصي,1,0,0,1300,2,6,0,5,0,0,0,0,0,1,1,0,1,0
Opel,2004,45000,أسود,0,خصوصي,1,0,1,2000,3,7,0,3,1,1,1,1,0,1,1,1,1,0
Skoda,2014,123999,أسود ميتالك,0,خصوصي,1,2,1,2000,3,5,0,2,1,1,1,1,0,1,0,1,1,1
Kia,2015,59000,أبيض,1,خصوصي,1,2,1,1000,4,5,1,1,1,1,1,1,0,1,0,1,1,1
Volkswagen,2015,84000,أبيض,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,1,1,1,1,1,1
Ford,2002,5500,أبيض,1,خصوصي,0,2,1,1600,1,5,0,3,1,1,0,0,0,0,0,1,1,0
Volkswagen,2015,108000,بني,0,خصوصي,1,0,1,1600,3,7,0,0,1,1,1,1,0,0,1,1,1,0
