Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
كيا اوبتيما,2014,100000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا سورينتو,2007,60000,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,130000,7+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي افانتي,2006,43500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فيات 127,1982,5500,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,شغال,4+1,إمكانية التقسيط,للبيع فقط,00,"مُكيّف,مسجل"
بيجو 208,2014,54000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,38000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية"
بي ام دبليو x3,2015,205000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل كورسا,2015,65000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٢٣٤٥٦,٤+١,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
مرسيدس C200,2014,230000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد فيستا,2014,59000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
